Zeit,Kanal A,Kanal B
(ms),(V),(V)

-8.21224569,0.01403851,0.00000000
-8.20968569,0.01648000,0.00000000
-8.20712569,0.01648000,0.00000000
-8.20456569,0.01953185,0.00000000
-8.20200569,0.01953185,0.00000000
-8.19944569,0.01953185,0.00000000
-8.19688569,0.01953185,0.00000000
-8.19432569,0.01953185,0.00000000
-8.19176569,0.01648000,0.00000000
-8.18920569,0.01648000,0.00000000
-8.18664569,0.01403851,0.00000000
-8.18408569,0.01403851,0.00000000
-8.18152569,0.01403851,0.00000000
-8.17896569,0.01648000,0.00000000
-8.17640569,0.01648000,0.00000000
-8.17384569,0.01648000,0.00000000
-8.17128569,0.01648000,0.00000000
-8.16872569,0.01648000,0.00000000
-8.16616569,0.01403851,0.00000000
-8.16360569,0.01403851,0.00000000
-8.16104569,0.01403851,0.00000000
-8.15848569,0.01403851,0.00000000
-8.15592569,0.01403851,0.00000000
-8.15336569,0.01403851,0.00000000
-8.15080569,0.01403851,0.00000000
-8.14824569,0.01648000,0.00000000
